,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Rank
Year,2015,2016,2017,2018,2019
Country,,,,,
Switzerland,1,2,4,5,6
Iceland,2,3,3,4,4
Denmark,3,1,2,3,2
Norway,4,4,1,2,3
Canada,5,6,7,7,9
Finland,6,5,5,1,1
Netherlands,7,7,6,6,5
Sweden,8,10,9,9,7
New Zealand,9,8,8,8,8
Australia,10,9,10,10,11
Austria,13,12,13,12,10
