,Country,Healthy Life Expectancy_2016,Healthy Life Expectancy_2017,Difference
135,Angola,0.0498686656355858,0.269,0.21913133436441423
107,Kenya,0.309988349676132,0.454,0.14401165032386803
96,South Africa,0.187080070376396,0.33,0.142919929623604
