,Country,GPD per capta_2016,GPD per capta_2017,Difference
119,Georgia,0.83792,0.950612664222717,0.11269266422271695
125,Malawi,0.08709,0.233442038297653,0.146352038297653
128,Mali,0.31292,0.476180493831635,0.16326049383163505
